x,y,domain
0.20665212,2.7048512,2
1.8472875,2.7418225,2
-7.66879,4.7474256,2
-0.16376486,3.1934423,2
2.5795166,2.4668078,2
5.979886,2.5792427,2
4.461844,-3.6094122,2
2.193563,5.0561085,2
8.841406,0.59212774,2
-0.7972822,1.951123,2
4.345314,-3.7428923,2
5.163129,-2.4064538,2
5.9857187,-1.9269838,3
-3.460992,2.8633378,3
-7.9621606,4.537327,3
2.1108673,2.1662583,3
-1.036468,5.449672,3
-7.946036,4.6480336,3
8.647504,0.6027107,3
-1.0242753,5.4521737,3
7.029392,-0.3427914,3
0.51190567,5.7691603,3
-0.39277178,4.7951827,3
4.289813,-3.7889652,3
-7.912649,4.643643,3
5.6761994,2.2059631,3
-2.9146621,3.012175,3
7.440937,0.20049725,3
-2.7114055,2.524068,3
-2.5101895,2.4389234,3
8.636208,0.5579652,3
-1.0400041,4.010475,3
11.681262,2.8770258,3
11.621846,2.7547426,3
4.290454,-4.1993556,3
10.500044,1.8784722,3
8.790545,0.52417964,3
10.5252695,1.890691,3
-3.5524006,2.9299765,3
-3.3808672,2.7321792,3
1.3936933,5.407402,3
-0.61237186,2.7410378,3
-1.1253003,5.263224,3
-1.1106911,5.004569,3
-7.9394846,4.584287,3
11.299932,2.5803359,3
4.221432,-4.02432,3
5.262642,2.2925055,3
-7.886398,4.750663,3
-2.65607,2.801536,3
-0.62989163,3.4160569,3
-0.8398958,2.3666558,3
-1.362327,5.020933,3
11.152447,2.9828122,3
11.397345,2.6358159,3
