domain,domain_name,active_count,active_frac
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,6,0.375
1,singapore-onenorth,7,0.4375
1,singapore-onenorth,6,0.375
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,9,0.5625
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,8,0.5
1,singapore-onenorth,6,0.375
1,singapore-onenorth,8,0.5
1,singapore-onenorth,7,0.4375
1,singapore-onenorth,8,0.5
1,singapore-onenorth,6,0.375
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,9,0.5625
1,singapore-onenorth,10,0.625
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,4,0.25
1,singapore-onenorth,9,0.5625
1,singapore-onenorth,4,0.25
1,singapore-onenorth,3,0.1875
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,9,0.5625
1,singapore-onenorth,4,0.25
1,singapore-onenorth,9,0.5625
1,singapore-onenorth,9,0.5625
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,7,0.4375
2,singapore-queenstown,10,0.625
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,7,0.4375
2,singapore-queenstown,10,0.625
2,singapore-queenstown,10,0.625
2,singapore-queenstown,3,0.1875
2,singapore-queenstown,6,0.375
2,singapore-queenstown,6,0.375
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,12,0.75
2,singapore-queenstown,6,0.375
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,3,0.1875
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,6,0.375
2,singapore-queenstown,8,0.5
2,singapore-queenstown,7,0.4375
2,singapore-queenstown,8,0.5
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,6,0.375
2,singapore-queenstown,8,0.5
2,singapore-queenstown,8,0.5
2,singapore-queenstown,7,0.4375
2,singapore-queenstown,9,0.5625
2,singapore-queenstown,8,0.5
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,4,0.25
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,4,0.25
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,7,0.4375
2,singapore-queenstown,7,0.4375
2,singapore-queenstown,7,0.4375
2,singapore-queenstown,7,0.4375
2,singapore-queenstown,6,0.375
2,singapore-queenstown,4,0.25
2,singapore-queenstown,9,0.5625
2,singapore-queenstown,6,0.375
2,singapore-queenstown,4,0.25
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,6,0.375
2,singapore-queenstown,8,0.5
2,singapore-queenstown,8,0.5
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,7,0.4375
2,singapore-queenstown,6,0.375
2,singapore-queenstown,6,0.375
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,11,0.6875
2,singapore-queenstown,6,0.375
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,7,0.4375
2,singapore-queenstown,6,0.375
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,8,0.5
2,singapore-queenstown,7,0.4375
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,4,0.25
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,6,0.375
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,10,0.625
2,singapore-queenstown,4,0.25
2,singapore-queenstown,6,0.375
2,singapore-queenstown,4,0.25
2,singapore-queenstown,9,0.5625
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,11,0.6875
2,singapore-queenstown,4,0.25
2,singapore-queenstown,6,0.375
2,singapore-queenstown,7,0.4375
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,6,0.375
2,singapore-queenstown,9,0.5625
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,4,0.25
2,singapore-queenstown,4,0.25
2,singapore-queenstown,4,0.25
2,singapore-queenstown,6,0.375
2,singapore-queenstown,6,0.375
2,singapore-queenstown,7,0.4375
2,singapore-queenstown,6,0.375
2,singapore-queenstown,6,0.375
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,5,0.3125
2,singapore-queenstown,9,0.5625
2,singapore-queenstown,10,0.625
2,singapore-queenstown,6,0.375
2,singapore-queenstown,5,0.3125
3,singapore-hollandvillage,11,0.6875
